model,result,image_size,type
Resnet50,0.702692,512,normal
Resnet101,0.671153,512,normal
Resnet152,0.642984,512,normal
Densnet201,0.733961,512,normal
Densnet169,0.721506,512,normal
Densnet121,0.680174,512,normal
Resnet50,0.729641,512,75-20-5
Resnet101,0.684769,512,75-20-5
Resnet152,0.671854,512,75-20-5
Densnet201,0.764336,512,75-20-5
Densnet169,0.745419,512,75-20-5
Densnet121,0.730526,512,75-20-5
Resnet50,0.70263,512,88-10-2
Resnet101,0.692851,512,88-10-2
Resnet152,0.650927,512,88-10-2
Densnet201,0.753442,512,88-10-2
Densnet169,0.736944,512,88-10-2
Densnet121,0.690994,512,88-10-2
Resnet50,0.713319,512,85-15
Resnet101,0.682038,512,85-15
Resnet152,0.660868,512,85-15
Densnet201,0.763077,512,85-15
Densnet169,0.753119,512,85-15
Densnet121,0.692649,512,85-15
Resnet50,0.692082,512,95-5
Resnet101,0.680302,512,95-5
Resnet152,0.665423,512,95-5
Densnet201,0.746641,512,95-5
Densnet169,0.730462,512,95-5
Densnet121,0.678247,512,95-5
Resnet50,0.637421,331,normal
Resnet101,0.63336,331,normal
Resnet152,0.603214,331,normal
Densnet201,0.753493,331,normal
Densnet169,0.747237,331,normal
Densnet121,0.71484,331,normal
Resnet50,0.687875,331,75-20-5
Resnet101,0.636421,331,75-20-5
Resnet152,0.616144,331,75-20-5
Densnet201,0.759805,331,75-20-5
Densnet169,0.756493,331,75-20-5
Densnet121,0.732462,331,75-20-5
Resnet50,0.677682,331,88-10-2
Resnet101,0.627173,331,88-10-2
Resnet152,0.617201,331,88-10-2
Densnet201,0.755706,331,88-10-2
Densnet169,0.741352,331,88-10-2
Densnet121,0.720554,331,88-10-2
Resnet50,0.6708,331,85-15
Resnet101,0.629113,331,85-15
Resnet152,0.605956,331,85-15
Densnet201,0.757587,331,85-15
Densnet169,0.747237,331,85-15
Densnet121,0.714883,331,85-15
Resnet50,0.663736,331,95-5
Resnet101,0.642139,331,95-5
Resnet152,0.621056,331,95-5
Densnet201,0.752007,331,95-5
Densnet169,0.746772,331,95-5
Densnet121,0.700778,331,95-5
Resnet50,0.59899,224,normal
Resnet101,0.541079,224,normal
Resnet152,0.524456,224,normal
Densnet201,0.724654,224,normal
Densnet169,0.728132,224,normal
Densnet121,0.707247,224,normal
Resnet50,0.57727,224,75-20-5
Resnet101,0.535817,224,75-20-5
Resnet152,0.51835,224,75-20-5
Densnet201,0.73695,224,75-20-5
Densnet169,0.722181,224,75-20-5
Densnet121,0.727366,224,75-20-5
Resnet50,0.599228,224,88-10-2
Resnet101,0.555112,224,88-10-2
Resnet152,0.48366,224,88-10-2
Densnet201,0.72609,224,88-10-2
Densnet169,0.721289,224,88-10-2
Densnet121,0.708872,224,88-10-2
Resnet50,0.587141,224,85-15
Resnet101,0.560715,224,85-15
Resnet152,0.502581,224,85-15
Densnet201,0.746029,224,85-15
Densnet169,0.732845,224,85-15
Densnet121,0.709329,224,85-15
Resnet50,0.597094,224,95-5
Resnet101,0.548555,224,95-5
Resnet152,0.531513,224,95-5
Densnet201,0.725778,224,95-5
Densnet169,0.72488,224,95-5
Densnet121,0.713754,224,95-5
Resnet50,0.723663,512,decreasing structure
Resnet101,0.686797,512,decreasing structure
Resnet152,0.659332,512,decreasing structure
Densnet201,0.774995,512,decreasing structure
Densnet169,0.753319,512,decreasing structure
Densnet121,0.716134,512,decreasing structure
Resnet50,0.656819,331,decreasing structure
Resnet101,0.647832,331,decreasing structure
Resnet152,0.590569,331,decreasing structure
Densnet201,0.762643,331,decreasing structure
Densnet169,0.76157,331,decreasing structure
Densnet121,0.740248,331,decreasing structure
Resnet50,0.594936,224,decreasing structure
Resnet101,0.523029,224,decreasing structure
Resnet152,0.509719,224,decreasing structure
Densnet201,0.73636,224,decreasing structure
Densnet169,0.733254,224,decreasing structure
Densnet121,0.73147,224,decreasing structure
